id,first_name,last_name,State,Product,NRx_Month_1,NRx_Month_2,NRx_Month_3,NRx_Month_4,NRx_Month_5,NRx_Month_6,TRx_Month_1,TRx_Month_2,TRx_Month_3,TRx_Month_4,TRx_Month_5,TRx_Month_6,NRx_all,TRx_all
1,Bren,Clarridge,Virginia,Cholecap,11,9,9,14,16,8,104,126,20,9,11,119,59,270
2,Catharine,Latty,West Virginia,Cholecap,0,1,2,15,0,10,177,184,70,94,123,155,18,648
3,Charity,Wernher,Utah,Cholecap,3,10,15,15,2,17,183,35,182,166,32,20,45,598
4,Trevar,Orrocks,California,Cholecap,20,8,4,16,10,15,30,24,61,125,10,191,58,250
5,Marie-ann,Degoy,California,Cholecap,11,14,0,13,16,5,153,157,27,118,101,193,54,556
6,Reggie,Scoggan,California,Cholecap,13,20,11,0,13,8,129,137,99,15,123,32,57,503
7,Camala,Dosdale,Pennsylvania,Cholecap,18,9,15,20,1,14,165,146,111,36,52,49,63,510
8,Abran,Tonnesen,Idaho,Cholecap,18,13,9,13,2,14,197,15,113,128,19,128,55,472
9,Kelly,Toolan,Washington,Cholecap,8,12,13,1,3,8,73,69,192,122,22,174,37,478
10,Eada,Ingman,Florida,Cholecap,4,16,8,1,0,7,0,159,136,46,156,58,29,497
11,Nari,Sallings,Alabama,Cholecap,18,19,19,16,9,19,178,147,145,35,53,9,81,558
12,Marrissa,Rawsen,California,Cholecap,0,11,16,10,2,15,34,5,120,161,43,163,39,363
13,Gabby,Trevino,Texas,Cholecap,2,17,2,13,15,8,102,162,99,200,129,120,49,692
14,Jyoti,Pevie,California,Cholecap,13,10,3,14,5,20,156,75,48,82,66,52,45,427
15,Sonni,Gogan,Alabama,Cholecap,7,11,9,1,1,4,176,3,52,125,141,196,29,497
16,Adrea,Stockall,New York,Cholecap,16,8,2,17,4,2,2,65,160,145,13,191,47,385
17,Liliane,Raff,South Carolina,Cholecap,9,13,14,19,16,3,168,140,117,194,167,185,71,786
18,Tommie,Siemantel,Arkansas,Cholecap,19,11,18,11,11,19,186,54,76,31,54,0,70,401
19,George,Perrett,Ohio,Cholecap,20,0,11,1,7,19,45,14,125,94,27,4,39,305
20,Tomasine,Birdall,Kansas,Cholecap,16,1,18,13,20,12,59,195,86,86,103,48,68,529
21,Annalise,Dugood,Ohio,Cholecap,7,12,7,3,1,8,180,159,188,31,176,108,30,734
22,Harlan,Rodson,Washington,Cholecap,10,7,6,19,7,4,0,78,167,109,63,51,49,417
23,Richmound,Willshire,District of Columbia,Cholecap,5,1,1,12,11,14,168,177,86,98,122,51,30,651
24,Reynold,Blaszczyk,Texas,Cholecap,7,16,3,7,3,1,0,51,164,154,99,165,36,468
25,Craggy,Reaveley,Texas,Cholecap,7,12,12,18,7,5,31,186,149,114,140,183,56,620
26,Lotti,O'Shee,District of Columbia,Cholecap,4,2,2,20,15,2,166,191,8,5,29,42,43,399
27,Marv,Brennand,Ohio,Cholecap,19,11,3,20,12,13,156,55,197,91,54,107,65,553
28,Ignace,Kitchener,New York,Cholecap,14,12,14,1,4,4,48,168,117,45,186,114,45,564
29,Xever,Percival,Illinois,Cholecap,17,12,16,0,8,3,44,62,35,139,168,179,53,448
30,Aryn,Durdle,Colorado,Cholecap,7,5,11,6,18,9,94,43,147,75,44,188,47,403
31,Lauree,Fomichkin,Colorado,Cholecap,13,18,12,3,7,8,37,83,26,184,80,62,53,410
32,Grazia,Wrightam,California,Cholecap,4,11,20,19,7,11,196,112,77,93,65,56,61,543
33,Clarissa,Sadat,Mississippi,Cholecap,13,20,14,11,2,0,82,2,44,47,28,126,60,203
34,Ashlen,Paolazzi,Virginia,Cholecap,8,4,11,17,12,19,69,121,125,107,184,144,52,606
35,Elsie,Strangeway,Texas,Cholecap,17,17,7,12,2,13,138,138,50,51,119,29,55,496
36,Claudianus,Cabbell,Ohio,Cholecap,8,14,16,4,1,15,192,129,158,141,176,127,43,796
37,Zorina,Joincey,New York,Cholecap,9,9,10,13,16,15,7,173,143,96,60,75,57,479
38,Nilson,Charlson,Tennessee,Cholecap,4,17,10,6,7,12,43,76,109,18,10,12,44,256
39,Allina,Oldfield,Texas,Cholecap,18,11,7,19,10,18,169,143,64,44,54,108,65,474
40,Zachary,Letteresse,Arizona,Cholecap,15,10,15,15,4,18,94,25,103,57,194,193,59,473
41,Maris,Le Barre,New Jersey,Cholecap,11,6,0,16,12,11,169,87,99,180,128,181,45,663
42,Ludovico,Kilroy,South Dakota,Cholecap,20,5,5,3,20,9,12,32,27,28,146,107,53,245
43,Tedman,Weldon,Missouri,Cholecap,20,15,17,20,8,1,24,102,12,135,112,41,80,385
44,Asia,Danilyak,Pennsylvania,Cholecap,7,16,16,3,9,4,79,58,157,40,102,59,51,436
45,Corette,Buchanan,Missouri,Cholecap,4,4,13,0,8,15,39,51,47,79,72,78,29,288
46,Chico,Ritmeier,Georgia,Cholecap,7,4,5,6,15,6,165,186,109,123,197,32,37,780
47,Lynde,O'Cullinane,Texas,Cholecap,6,13,12,3,14,1,109,182,89,144,94,133,48,618
48,Vivia,Redborn,District of Columbia,Cholecap,6,4,3,2,6,5,84,119,44,113,77,14,21,437
49,Gene,Pollard,Indiana,Cholecap,17,14,18,14,1,20,145,185,167,6,80,27,64,583
50,Monti,Trett,Alabama,Cholecap,6,19,1,15,19,20,142,135,167,182,26,108,60,652
51,Andie,Gymlett,Massachusetts,Cholecap,18,5,4,3,15,20,83,16,130,151,75,28,45,455
52,Maia,Spriggin,California,Cholecap,2,5,6,7,17,5,157,67,60,38,70,138,37,392
53,Aleece,Holburn,District of Columbia,Cholecap,14,6,4,16,3,1,91,141,109,156,41,33,43,538
54,Aila,Tonna,Alabama,Cholecap,6,16,0,16,4,3,14,16,116,164,31,139,42,341
55,Vivianna,Mordin,Missouri,Cholecap,16,17,4,18,0,13,48,93,105,18,54,140,55,318
56,Carrie,Astbury,Massachusetts,Cholecap,9,17,2,4,8,17,5,44,96,74,184,34,40,403
57,Mommy,Grigoliis,California,Cholecap,18,3,1,10,17,2,51,149,41,72,185,5,49,498
58,Minor,Tattershall,Texas,Cholecap,9,2,9,17,6,10,79,37,112,154,99,71,43,481
59,Ade,Ballay,Massachusetts,Cholecap,19,13,2,7,7,4,154,7,135,52,183,130,48,531
60,Shannah,Giovannelli,Connecticut,Cholecap,11,12,15,5,5,12,20,59,175,52,107,119,48,413
61,Tirrell,Fritchley,Arizona,Cholecap,10,4,10,6,15,15,60,90,59,32,71,133,45,312
62,Nancee,Cane,Virginia,Cholecap,7,15,6,8,14,11,143,1,113,34,7,92,50,298
63,Elizabet,Dunster,Louisiana,Cholecap,14,18,2,4,6,0,157,88,21,93,24,72,44,383
64,Susannah,Nares,Georgia,Cholecap,15,14,3,15,12,20,184,94,19,86,12,122,59,395
65,Veradis,Letteresse,Utah,Cholecap,5,1,20,14,11,9,7,139,67,30,170,134,51,413
66,Sonnie,Coots,Nevada,Cholecap,16,9,1,9,16,7,157,42,54,170,94,111,51,517
67,Corabella,De Souza,California,Cholecap,12,10,9,17,20,7,91,46,145,182,76,82,68,540
68,Kristin,Camplen,Utah,Cholecap,6,13,16,13,3,8,109,81,91,11,154,163,51,446
69,Lucius,Lorenzetto,Illinois,Cholecap,14,9,4,9,2,8,56,14,143,178,165,152,38,556
70,Ernie,Jakaway,California,Cholecap,5,3,10,1,19,6,109,182,98,108,149,66,38,646
71,Rosy,Bubbings,Texas,Cholecap,8,11,9,9,20,1,155,65,51,81,137,48,57,489
72,Kelcey,McGrory,California,Cholecap,12,19,9,8,18,2,119,178,21,80,46,79,66,444
73,Lexine,Durden,California,Cholecap,20,19,14,11,20,15,134,85,112,133,16,106,84,480
74,Toiboid,Ellett,New York,Cholecap,13,6,7,5,3,15,79,166,128,40,15,57,34,428
75,Tris,Earl,Montana,Cholecap,10,7,15,7,16,5,103,179,114,151,168,146,55,715
76,Eldin,Mossbee,Nevada,Cholecap,15,13,6,0,4,8,93,171,35,108,68,166,38,475
77,Daisy,Luno,Pennsylvania,Cholecap,5,3,3,16,9,16,39,187,4,180,83,106,36,493
78,Silvie,Gurdon,Colorado,Cholecap,7,11,9,20,20,17,51,191,30,37,29,31,67,338
79,Toma,Dewhurst,Texas,Cholecap,5,14,1,16,8,8,74,199,184,32,161,13,44,650
80,Tabatha,Manton,Hawaii,Cholecap,3,6,14,3,15,12,41,182,61,77,180,67,41,541
81,Pearle,Peatheyjohns,Ohio,Cholecap,16,0,0,13,2,6,125,36,135,99,35,107,31,430
82,Cati,de Almeida,Oklahoma,Cholecap,7,20,20,5,6,2,121,78,8,69,39,200,58,315
83,Jourdain,Chalke,Florida,Cholecap,12,11,7,12,17,15,63,94,12,179,96,73,59,444
